coastal_ecological_area,general_location,latitude,longitude,nst_site,reg_nm,region_name,source_file,specific_location,state_name,stratum,study_name
Alaskan West,Chukchi Sea,70.0486,-163.0217,AKC11-0056,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.8849,-161.9871,AKC11-0057,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.4472,-161.7245,AKC11-0058,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.4812,-160.9077,AKC11-0060,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.4415,-158.2252,AKC11-0062,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.2382,-158.8604,AKC11-0064,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.3665,-158.4179,AKC11-0069,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,68.8786,-168.6154,AKC12-001,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,67.6466,-168.2814,AKC12-002,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,67.6419,-166.7421,AKC12-003,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,67.6464,-165.553,AKC12-004,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.0844,-158.8609,AKC12-005,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.1405,-158.9712,AKC12-006,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,71.3195,-158.0881,AKC12-009,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.49600000000002,-160.6245,AKC12-DF001,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.9752,-161.8952,AKC12-DF005,Alaska,,Sites_AlaskaArcticStudy.csv,Unknown,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.79668000000002,-158.81763999999995,AKC_15-005,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.77606,-159.16023,AKC_15-009,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.83771999999998,-158.76328,AKC_15-010,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.51008,-159.7809,AKC_15-011,Alaska,,Sites_AlaskaArcticStudy.csv,Wainwright Inlet,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.82645,-158.56464,AKC_15-013,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.6001,-159.9874,AKC_15-015,Alaska,,Sites_AlaskaArcticStudy.csv,Wainwright Inlet,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.29276,-161.64851000000004,AKC_15-016,Alaska,,Sites_AlaskaArcticStudy.csv,Kasegaluk Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.85295,-158.95015,AKC_15-018,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.28793,-161.38142,AKC_15-024,Alaska,,Sites_AlaskaArcticStudy.csv,Kasegaluk Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.81623,-158.65599,AKC_15-025,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.26575,-161.52661,AKC_15-028,Alaska,,Sites_AlaskaArcticStudy.csv,Kasegaluk Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.79699000000002,-159.16907,AKC_15-033,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.79523,-158.61818,AKC_15-037,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.46701999999998,-159.82925,AKC_15-039,Alaska,,Sites_AlaskaArcticStudy.csv,Wainwright Inlet,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.26598,-161.49812,AKC_15-044,Alaska,,Sites_AlaskaArcticStudy.csv,Kasegaluk Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.44556999999998,-159.8809,AKC_15-047,Alaska,,Sites_AlaskaArcticStudy.csv,Wainwright Inlet,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.79145,-159.21268999999995,AKC_15-049,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.87621,-158.87073999999996,AKC_15-050,Alaska,,Sites_AlaskaArcticStudy.csv,Peard Bay,Alaska,,Alaska Arctic Study
Alaskan West,Chukchi Sea,70.55376,-159.8718,AKC_15-051,Alaska,,Sites_AlaskaArcticStudy.csv,Wainwright Inlet,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,71.36658,-156.46556,AKC_15-065,Alaska,,Sites_AlaskaArcticStudy.csv,Elson Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,70.86619,-154.25139,AKC_15-066,Alaska,,Sites_AlaskaArcticStudy.csv,Smith Bay,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,71.20421,-155.81281,AKC_15-067,Alaska,,Sites_AlaskaArcticStudy.csv,Elson Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,71.12628000000002,-155.53656,AKC_15-069,Alaska,,Sites_AlaskaArcticStudy.csv,Elson Lagoon/Dease Inlet,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,70.9114,-154.13422,AKC_15-073,Alaska,,Sites_AlaskaArcticStudy.csv,Smith Bay,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,71.27721,-156.01894,AKC_15-079,Alaska,,Sites_AlaskaArcticStudy.csv,Elson Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,71.0373,-155.5879,AKC_15-082,Alaska,,Sites_AlaskaArcticStudy.csv,Elson Lagoon/Dease Inlet,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,71.30807,-156.25009,AKC_15-095,Alaska,,Sites_AlaskaArcticStudy.csv,Elson Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,70.89648000000003,-154.51713999999996,AKC_15-106,Alaska,,Sites_AlaskaArcticStudy.csv,Smith Bay,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,71.29836,-155.99196,AKC_15-107,Alaska,,Sites_AlaskaArcticStudy.csv,Elson Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,70.90934,-154.47159,AKC_15-113,Alaska,,Sites_AlaskaArcticStudy.csv,Smith Bay,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,71.32653,-156.42862,AKC_15-114,Alaska,,Sites_AlaskaArcticStudy.csv,Elson Lagoon,Alaska,,Alaska Arctic Study
Alaskan West,Beaufort Sea,70.90526,-154.52477,AKC_15-120,Alaska,,Sites_AlaskaArcticStudy.csv,Smith Bay,Alaska,,Alaska Arctic Study
